10 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
002,002,002,002,002,002,002,002,002,002,002,002,002,002,002,002
0.40827 [3865 voxels],0.42467 [5681 voxels],0.395333 [5398 voxels],0.519508 [2257 voxels],0.383372 [2224 voxels],0.503968 [3910 voxels],0.439947 [3444 voxels],0.557311 [2406 voxels],0.440855 [2152 voxels],003,003,0.359311 [4171 voxels],0.373943 [4452 voxels],0.372797 [7753 voxels],0.384022 [7686 voxels],0.54929 [3274 voxels]
003,003,003,003,003,003,003,003,003,005,005,003,003,003,003,003
0.502556 [3865 voxels],0.435594 [5681 voxels],0.466984 [5398 voxels],0.495363 [2257 voxels],0.439119 [2224 voxels],0.458438 [3910 voxels],0.450698 [3444 voxels],0.562407 [2406 voxels],0.574006 [2152 voxels],014,014,0.321611 [4171 voxels],0.369916 [4452 voxels],0.394726 [7753 voxels],0.422928 [7686 voxels],0.471492 [3274 voxels]
005,005,005,005,005,005,005,005,005,017,017,005,005,005,005,005
0.465234 [3865 voxels],0.381609 [5681 voxels],0.39179 [5398 voxels],0.478693 [2257 voxels],0.38872 [2224 voxels],0.459812 [3910 voxels],0.437079 [3444 voxels],0.552221 [2406 voxels],0.492926 [2152 voxels],018,018,0.399636 [4171 voxels],0.350972 [4452 voxels],0.422794 [7753 voxels],0.382266 [7686 voxels],0.614448 [3274 voxels]
014,014,014,014,014,014,014,014,014,019,019,014,014,014,014,014
0.605074 [3865 voxels],0.429751 [5681 voxels],0.401343 [5398 voxels],0.449782 [2257 voxels],0.452592 [2224 voxels],0.470173 [3910 voxels],0.445324 [3444 voxels],0.545775 [2406 voxels],0.634656 [2152 voxels],020,020,0.349579 [4171 voxels],0.343923 [4452 voxels],0.413703 [7753 voxels],0.432378 [7686 voxels],0.619836 [3274 voxels]
017,017,017,017,017,017,017,017,017,021,021,017,017,017,017,017
0.453436 [3865 voxels],0.445624 [5681 voxels],0.473024 [5398 voxels],0.48444 [2257 voxels],0.407061 [2224 voxels],0.470245 [3910 voxels],0.455974 [3444 voxels],0.559971 [2406 voxels],0.557921 [2152 voxels],022,022,0.333457 [4171 voxels],0.329387 [4452 voxels],0.39228 [7753 voxels],0.375452 [7686 voxels],0.546201 [3274 voxels]
018,018,018,018,018,018,018,018,018,024,024,018,018,018,018,018
